iter	MultiClass
0	1.314771984
1	1.245272191
2	1.194526442
3	1.130694655
4	1.076541613
5	1.016533164
6	0.9480635379
7	0.9091685425
8	0.8659381318
9	0.8337934725
10	0.8032187524
11	0.7695408151
12	0.7360813398
13	0.710491463
14	0.6931855237
15	0.6665474586
16	0.633787333
17	0.6124844393
18	0.5898054201
19	0.5699108086
20	0.5519248961
21	0.537097794
22	0.5179287657
23	0.5000694874
24	0.4853910747
25	0.4686110601
26	0.4566840928
27	0.4434778065
28	0.4287467545
29	0.4155263353
30	0.4041231101
31	0.3922256985
32	0.3789544031
33	0.3666689569
34	0.3567691272
35	0.3444316438
36	0.3339198247
37	0.3263348313
38	0.3144131875
39	0.3035972512
40	0.2977435826
41	0.2913442269
42	0.2854499312
43	0.2796919024
44	0.2736235253
45	0.2679494015
46	0.2631467304
47	0.2580599126
48	0.2493176257
49	0.2426618066
50	0.2385555433
51	0.2315209997
52	0.2257250109
53	0.220222306
54	0.2169193518
55	0.2122960828
56	0.2083959955
57	0.2034017262
58	0.199747905
59	0.1959782819
60	0.1912162698
61	0.1872918248
62	0.1844084602
63	0.1816345846
64	0.1764714234
65	0.1740666301
66	0.1722379761
67	0.1696251288
68	0.1668075551
69	0.1644415419
70	0.1623421888
71	0.159415964
72	0.1564016993
73	0.1546020584
74	0.1513677414
75	0.1476380486
76	0.1454651412
77	0.1422256692
78	0.1390521681
79	0.1371811427
80	0.1347142055
81	0.1323260013
82	0.1300825314
83	0.1286133097
84	0.1262689668
85	0.1241683091
86	0.122007404
87	0.1198065792
88	0.1176431297
89	0.1142421661
90	0.1119826511
91	0.1099904425
92	0.1072683299
93	0.1046878299
94	0.1027274256
95	0.1012732358
96	0.09942235019
97	0.09786288215
98	0.09613563919
99	0.0935605009
100	0.09154869332
101	0.09026376701
102	0.08989236753
103	0.08960183026
104	0.0876946889
105	0.08640793357
106	0.08490047554
107	0.08465422452
108	0.08286980396
109	0.08142750915
110	0.08021192799
111	0.0790962869
112	0.07820339409
113	0.07674163221
114	0.07543362401
115	0.07492467302
116	0.0746276781
117	0.07447794942
118	0.07317362711
119	0.07181271334
120	0.07161108158
121	0.07070582374
122	0.06936486233
123	0.06855604559
124	0.06834557134
125	0.06818784051
126	0.06743947425
127	0.06678827781
128	0.06594602599
129	0.06501691211
130	0.06364415549
131	0.06334746234
132	0.06225570032
133	0.06145212773
134	0.06076958186
135	0.06061786301
136	0.06047709202
137	0.06035486813
138	0.05969050496
139	0.0595641325
140	0.05941317678
141	0.05878894946
142	0.05869228007
143	0.05771651408
144	0.05756066354
145	0.05746021028
146	0.0565782376
147	0.05557411539
148	0.05483608603
149	0.05424416443
150	0.05346524976
151	0.05273543186
152	0.05207752523
153	0.0512702987
154	0.05057160328
155	0.04983267133
156	0.04933004836
157	0.04890470218
158	0.04819405375
159	0.04783912788
160	0.0474074009
161	0.04702676683
162	0.04691375735
163	0.04674507114
164	0.04619052039
165	0.04571051789
166	0.04557965326
167	0.04515029915
168	0.0446342229
169	0.04417765741
170	0.04371482756
171	0.04302715306
172	0.04243900928
173	0.0419596191
174	0.04155113976
175	0.04146238954
176	0.04118274491
177	0.04075683428
178	0.04062878224
179	0.04034658353
180	0.04009924735
181	0.03999416462
182	0.03963427325
183	0.03916867416
184	0.03862531956
185	0.03819818383
186	0.03784991099
187	0.03752284624
188	0.03703364525
189	0.03671343345
190	0.03649199389
191	0.03642538992
192	0.03636016893
